MUNICIPIO,CODIGO
ACEGUA,4300034
AGUA SANTA,4300059
AGUDO,4300109
AJURICABA,4300208
ALECRIM,4300307
ALEGRETE,4300406
ALEGRIA,4300455
ALMIRANTE TAMANDARE DO SUL,4300471
ALPESTRE,4300505
ALTO ALEGRE,4300554
ALTO FELIZ,4300570
ALVORADA,4300604
AMARAL FERRADOR,4300638
AMETISTA DO SUL,4300646
ANDRE DA ROCHA,4300661
ANTA GORDA,4300703
ANTONIO PRADO,4300802
ARAMBARE,4300851
ARARICA,4300877
ARATIBA,4300901
ARROIO DO MEIO,4301008
ARROIO DO PADRE,4301073
ARROIO DO SAL,4301057
ARROIO DOS RATOS,4301107
ARROIO DO TIGRE,4301206
ARROIO GRANDE,4301305
ARVOREZINHA,4301404
AUGUSTO PESTANA,4301503
AUREA,4301552
BAGE,4301602
BALNEARIO PINHAL,4301636
BARAO,4301651
BARAO DE COTEGIPE,4301701
BARAO DO TRIUNFO,4301750
BARRACAO,4301800
BARRA DO GUARITA,4301859
BARRA DO QUARAI,4301875
BARRA DO RIBEIRO,4301909
BARRA DO RIO AZUL,4301925
BARRA FUNDA,4301958
BARROS CASSAL,4302006
BENJAMIN CONSTANT DO SUL,4302055
BENTO GONCALVES,4302105
BOA VISTA DAS MISSOES,4302154
BOA VISTA DO BURICA,4302204
BOA VISTA DO CADEADO,4302220
BOA VISTA DO INCRA,4302238
BOA VISTA DO SUL,4302253
BOM JESUS,4302303
BOM PRINCIPIO,4302352
BOM PROGRESSO,4302378
BOM RETIRO DO SUL,4302402
BOQUEIRAO DO LEAO,4302451
BOSSOROCA,4302501
BOZANO,4302584
BRAGA,4302600
BROCHIER,4302659
BUTIA,4302709
CACAPAVA DO SUL,4302808
CACEQUI,4302907
CACHOEIRA DO SUL,4303004
CACHOEIRINHA,4303103
CACIQUE DOBLE,4303202
CAIBATE,4303301
CAICARA,4303400
CAMAQUA,4303509
CAMARGO,4303558
CAMBARA DO SUL,4303608
CAMPESTRE DA SERRA,4303673
CAMPINA DAS MISSOES,4303707
CAMPINAS DO SUL,4303806
CAMPO BOM,4303905
CAMPO NOVO,4304002
CAMPOS BORGES,4304101
CANDELARIA,4304200
CANDIDO GODOI,4304309
CANDIOTA,4304358
CANELA,4304408
CANGUCU,4304507
CANOAS,4304606
CANUDOS DO VALE,4304614
CAPAO BONITO DO SUL,4304622
CAPAO DA CANOA,4304630
CAPAO DO CIPO,4304655
CAPAO DO LEAO,4304663
CAPELA DE SANTANA,4304689
CAPITAO,4304697
CAPIVARI DO SUL,4304671
CARAA,4304713
CARAZINHO,4304705
CARLOS BARBOSA,4304804
CARLOS GOMES,4304853
CASCA,4304903
CASEIROS,4304952
CATUIPE,4305009
CAXIAS DO SUL,4305108
CENTENARIO,4305116
CERRITO,4305124
CERRO BRANCO,4305132
CERRO GRANDE,4305157
CERRO GRANDE DO SUL,4305173
CERRO LARGO,4305207
CHAPADA,4305306
CHARQUEADAS,4305355
CHARRUA,4305371
CHIAPETTA,4305405
CHUI,4305439
CHUVISCA,4305447
CIDREIRA,4305454
CIRIACO,4305504
COLINAS,4305587
COLORADO,4305603
CONDOR,4305702
CONSTANTINA,4305801
COQUEIRO BAIXO,4305835
COQUEIROS DO SUL,4305850
CORONEL BARROS,4305871
CORONEL BICACO,4305900
CORONEL PILAR,4305934
COTIPORA,4305959
COXILHA,4305975
CRISSIUMAL,4306007
CRISTAL,4306056
CRISTAL DO SUL,4306072
CRUZALTENSE,4306130
CRUZ ALTA,4306106
CRUZEIRO DO SUL,4306205
DAVID CANABARRO,4306304
DERRUBADAS,4306320
DEZESSEIS DE NOVEMBRO,4306353
DILERMANDO DE AGUIAR,4306379
DOIS IRMAOS,4306403
DOIS IRMAOS DAS MISSOES,4306429
DOIS LAJEADOS,4306452
DOM FELICIANO,4306502
DOM PEDRO DE ALCANTARA,4306551
DOM PEDRITO,4306601
DONA FRANCISCA,4306700
DOUTOR MAURICIO CARDOSO,4306734
DOUTOR RICARDO,4306759
ELDORADO DO SUL,4306767
ENCANTADO,4306809
ENCRUZILHADA DO SUL,4306908
ENGENHO VELHO,4306924
ENTRE-IJUIS,4306932
ENTRE RIOS DO SUL,4306957
EREBANGO,4306973
ERECHIM,4307005
ERNESTINA,4307054
ERVAL GRANDE,4307203
ERVAL SECO,4307302
ESMERALDA,4307401
ESPERANCA DO SUL,4307450
ESPUMOSO,4307500
ESTACAO,4307559
ESTANCIA VELHA,4307609
ESTEIO,4307708
ESTRELA,4307807
ESTRELA VELHA,4307815
EUGENIO DE CASTRO,4307831
FAGUNDES VARELA,4307864
FARROUPILHA,4307906
FAXINAL DO SOTURNO,4308003
FAXINALZINHO,4308052
FAZENDA VILANOVA,4308078
FELIZ,4308102
FLORES DA CUNHA,4308201
FLORIANO PEIXOTO,4308250
FONTOURA XAVIER,4308300
FORMIGUEIRO,4308409
FORQUETINHA,4308433
FORTALEZA DOS VALOS,4308458
FREDERICO WESTPHALEN,4308508
GARIBALDI,4308607
GARRUCHOS,4308656
GAURAMA,4308706
GENERAL CAMARA,4308805
GENTIL,4308854
GETULIO VARGAS,4308904
GIRUA,4309001
GLORINHA,4309050
GRAMADO,4309100
GRAMADO DOS LOUREIROS,4309126
GRAMADO XAVIER,4309159
GRAVATAI,4309209
GUABIJU,4309258
GUAIBA,4309308
GUAPORE,4309407
GUARANI DAS MISSOES,4309506
HARMONIA,4309555
HERVAL,4307104
HERVEIRAS,4309571
HORIZONTINA,4309605
HULHA NEGRA,4309654
HUMAITA,4309704
IBARAMA,4309753
IBIACA,4309803
IBIRAIARAS,4309902
IBIRAPUITA,4309951
IBIRUBA,4310009
IGREJINHA,4310108
IJUI,4310207
ILOPOLIS,4310306
IMBE,4310330
IMIGRANTE,4310363
INDEPENDENCIA,4310405
INHACORA,4310413
IPE,4310439
IPIRANGA DO SUL,4310462
IRAI,4310504
ITAARA,4310538
ITACURUBI,4310553
ITAPUCA,4310579
ITAQUI,4310603
ITATI,4310652
ITATIBA DO SUL,4310702
IVORA,4310751
IVOTI,4310801
JABOTICABA,4310850
JACUIZINHO,4310876
JACUTINGA,4310900
JAGUARAO,4311007
JAGUARI,4311106
JAQUIRANA,4311122
JARI,4311130
JOIA,4311155
JULIO DE CASTILHOS,4311205
LAGOA BONITA DO SUL,4311239
LAGOA DOS TRES CANTOS,4311270
LAGOAO,4311254
LAGOA VERMELHA,4311304
LAJEADO,4311403
LAJEADO DO BUGRE,4311429
LAVRAS DO SUL,4311502
LIBERATO SALZANO,4311601
LINDOLFO COLLOR,4311627
LINHA NOVA,4311643
MACAMBARA,4311718
MACHADINHO,4311700
MAMPITUBA,4311734
MANOEL VIANA,4311759
MAQUINE,4311775
