Municipio;Ano;Mes;Dia do Mes;Dia da Semana;Turno;Hora;Tentado;Tipo Local;Idade vitima;Idade Autor
ACEGUA RS                                                             ;2006;06       ;02;sexta-feira   ;Madrugada ;01:00:00;Consumado;                  ;016;045
ACEGUA RS                                                             ;2007;10       ;22;segunda-feira ;Manhã     ;09:30:00;Consumado;Residência        ;012;032
ACEGUA RS                                                             ;2011;01       ;18;terça-feira   ;Madrugada ;00:30:00;Consumado;Residência        ;015;027
AGUA SANTA RS                                                         ;2006;01       ;01;domingo       ;Madrugada ;00:01:00;Consumado;Residência        ;009;019
AGUA SANTA RS                                                         ;2008;01       ;30;quarta-feira  ;Madrugada ;00:01:00;Consumado;Residência        ;014;034
AGUAS CLARAS (VIAMAO) RS                                              ;2010;04       ;03;sábado        ;Tarde     ;14:00:00;Consumado;                  ;010;063
AGUDO RS                                                              ;2006;05       ;10;quarta-feira  ;Tarde     ;12:00:00;Consumado;Outros            ;017;022
AGUDO RS                                                              ;2006;12       ;30;sábado        ;Manhã     ;06:30:00;Tentado  ;Residência        ;013;028
AGUDO RS                                                              ;2007;03       ;01;quinta-feira  ;Manhã     ;08:00:00;Consumado;Residência        ;010;023
AGUDO RS                                                              ;2007;04       ;12;quinta-feira  ;Madrugada ;00:15:00;Tentado  ;Via Publica       ;015;030
AGUDO RS                                                              ;2007;12       ;08;sábado        ;Manhã     ;10:00:00;Tentado  ;Residência        ;010;071
AGUDO RS                                                              ;2009;01       ;15;quinta-feira  ;Noite     ;18:00:00;Consumado;Residência        ;009;014
AGUDO RS                                                              ;2009;08       ;25;terça-feira   ;Tarde     ;14:00:00;Tentado  ;Outros            ;020;038
AGUDO RS                                                              ;2009;08       ;29;sábado        ;Noite     ;23:40:00;Tentado  ;                  ;017;000
AGUDO RS                                                              ;2009;09       ;10;quinta-feira  ;Noite     ;22:40:00;Tentado  ;                  ;022;000
AGUDO RS                                                              ;2010;01       ;09;sábado        ;Tarde     ;15:30:00;Tentado  ;Residência        ;006;030
AGUDO RS                                                              ;2010;04       ;03;sábado        ;Madrugada ;02:00:00;Consumado;                  ;049;000
AGUDO RS                                                              ;2010;12       ;24;sexta-feira   ;Tarde     ;12:30:00;Consumado;Outros            ;014;031
AGUDO RS                                                              ;2011;03       ;17;quinta-feira  ;Manhã     ;08:00:00;Consumado;Outros            ;014;025
AGUDO RS                                                              ;2011;04       ;03;domingo       ;Noite     ;19:00:00;Tentado  ;Residência        ;040;079
AGUDO RS                                                              ;2011;04       ;06;quarta-feira  ;Tarde     ;14:30:00;Tentado  ;Residência        ;016;042
AGUDO RS                                                              ;2011;05       ;21;sábado        ;Madrugada ;05:20:00;Tentado  ;Via Publica       ;049;038
AGUDO RS                                                              ;2011;05       ;22;domingo       ;Noite     ;20:30:00;Consumado;Residência        ;042;027
AGUDO RS                                                              ;2011;05       ;25;quarta-feira  ;Noite     ;19:00:00;Tentado  ;Residência        ;014;037
AGUDO RS                                                              ;2011;06       ;18;sábado        ;Madrugada ;04:00:00;Tentado  ;Outros            ;017;035
AGUDO RS                                                              ;2011;10       ;16;domingo       ;Tarde     ;16:00:00;Consumado;Via Publica       ;010;000
AJURICABA RS                                                          ;2007;11       ;14;quarta-feira  ;Tarde     ;16:00:00;Tentado  ;Residência        ;028;049
AJURICABA RS                                                          ;2008;02       ;14;quinta-feira  ;Manhã     ;09:00:00;Consumado;Outros            ;003;000
AJURICABA RS                                                          ;2008;03       ;01;sábado        ;Manhã     ;09:00:00;Consumado;Residência        ;016;043
AJURICABA RS                                                          ;2010;01       ;01;sexta-feira   ;Manhã     ;08:00:00;Consumado;Residência        ;007;013
AJURICABA RS                                                          ;2010;09       ;29;quarta-feira  ;Manhã     ;10:30:00;Tentado  ;Residência        ;038;056
AJURICABA RS                                                          ;2010;12       ;11;sábado        ;Madrugada ;00:01:00;Consumado;Residência        ;010;042
AJURICABA RS                                                          ;2011;01       ;01;sábado        ;Manhã     ;08:00:00;Consumado;Residência        ;009;000
AJURICABA RS                                                          ;2011;06       ;19;domingo       ;Noite     ;19:00:00;Consumado;Residência        ;068;000
ALECRIM RS                                                            ;2006;03       ;24;sexta-feira   ;Manhã     ;10:00:00;Tentado  ;Outros            ;017;020
ALECRIM RS                                                            ;2006;04       ;07;sexta-feira   ;Tarde     ;12:00:00;Tentado  ;Outros            ;018;065
ALECRIM RS                                                            ;2006;07       ;23;domingo       ;Noite     ;20:00:00;Tentado  ;Residência        ;018;032
ALECRIM RS                                                            ;2008;05       ;01;quinta-feira  ;Manhã     ;10:00:00;Consumado;Residência        ;030;024
ALECRIM RS                                                            ;2008;07       ;23;quarta-feira  ;Manhã     ;08:00:00;Consumado;Residência        ;034;062
ALECRIM RS                                                            ;2008;08       ;20;quarta-feira  ;Manhã     ;11:00:00;Tentado  ;Via Publica       ;018;000
ALECRIM RS                                                            ;2008;09       ;10;quarta-feira  ;Tarde     ;13:15:00;Tentado  ;Via Publica       ;015;046
ALECRIM RS                                                            ;2009;10       ;01;quinta-feira  ;Madrugada ;00:01:00;Consumado;Residência        ;013;049
ALECRIM RS                                                            ;2010;02       ;08;segunda-feira ;Tarde     ;14:00:00;Consumado;Outros            ;031;032
ALECRIM RS                                                            ;2011;02       ;20;domingo       ;Noite     ;18:00:00;Consumado;Residência        ;034;025
ALECRIM RS                                                            ;2011;04       ;14;quinta-feira  ;Manhã     ;09:30:00;Consumado;Residência        ;013;042
ALECRIM RS                                                            ;2011;11       ;29;terça-feira   ;Madrugada ;02:30:00;Consumado;Residência        ;013;028
ALEGRETE RS                                                           ;2006;01       ;04;quarta-feira  ;Madrugada ;05:30:00;Tentado  ;Estab.Comercial   ;031;000
ALEGRETE RS                                                           ;2006;01       ;25;quarta-feira  ;Madrugada ;00:15:00;Tentado  ;Residência        ;020;000
ALEGRETE RS                                                           ;2006;02       ;20;segunda-feira ;Manhã     ;11:40:00;Tentado  ;Outros            ;018;042
ALEGRETE RS                                                           ;2006;03       ;02;quinta-feira  ;Manhã     ;07:45:00;Tentado  ;Residência        ;016;021
ALEGRETE RS                                                           ;2006;12       ;17;domingo       ;Noite     ;19:00:00;Consumado;Residência        ;012;016
ALEGRETE RS                                                           ;2006;12       ;20;quarta-feira  ;Madrugada ;00:50:00;Consumado;Residência        ;019;024
ALEGRETE RS                                                           ;2006;12       ;31;domingo       ;Noite     ;20:00:00;Consumado;Residência        ;028;033
ALEGRETE RS                                                           ;2007;01       ;07;domingo       ;Tarde     ;16:00:00;Consumado;Outros            ;014;015
ALEGRETE RS                                                           ;2007;01       ;17;quarta-feira  ;Noite     ;22:00:00;Consumado;Residência        ;015;047
ALEGRETE RS                                                           ;2007;03       ;19;segunda-feira ;Noite     ;22:30:00;Tentado  ;Residência        ;024;047
ALEGRETE RS                                                           ;2007;08       ;01;quarta-feira  ;Madrugada ;04:10:00;Tentado  ;Via Publica       ;020;000
ALEGRETE RS                                                           ;2007;08       ;08;quarta-feira  ;Manhã     ;08:00:00;Consumado;Estab.Comercial   ;014;027
ALEGRETE RS                                                           ;2007;09       ;28;sexta-feira   ;Manhã     ;10:00:00;Consumado;Residência        ;013;000
ALEGRETE RS                                                           ;2007;11       ;02;sexta-feira   ;Tarde     ;16:00:00;Consumado;Residência        ;016;019
ALEGRETE RS                                                           ;2007;12       ;06;quinta-feira  ;Madrugada ;00:01:00;Consumado;Residência        ;013;034
ALEGRETE RS                                                           ;2007;12       ;09;domingo       ;Manhã     ;08:00:00;Consumado;Residência        ;011;042
ALEGRETE RS                                                           ;2008;02       ;21;quinta-feira  ;Noite     ;19:00:00;Consumado;Residência        ;028;000
ALEGRETE RS                                                           ;2008;02       ;28;quinta-feira  ;Noite     ;21:00:00;Consumado;Residência        ;034;000
ALEGRETE RS                                                           ;2008;03       ;10;segunda-feira ;Madrugada ;01:00:00;Consumado;Via Publica       ;027;033
ALEGRETE RS                                                           ;2008;03       ;17;segunda-feira ;Madrugada ;01:30:00;Consumado;Outros            ;014;000
ALEGRETE RS                                                           ;2008;03       ;23;domingo       ;Noite     ;18:30:00;Tentado  ;Residência        ;012;040
ALEGRETE RS                                                           ;2008;05       ;05;segunda-feira ;Tarde     ;13:30:00;Consumado;Residência        ;014;000
ALEGRETE RS                                                           ;2008;06       ;01;domingo       ;Noite     ;22:00:00;Consumado;Residência        ;013;027
ALEGRETE RS                                                           ;2008;08       ;06;quarta-feira  ;Tarde     ;14:30:00;Consumado;Outros            ;014;041
ALEGRETE RS                                                           ;2008;10       ;19;domingo       ;Tarde     ;16:00:00;Consumado;Residência        ;010;030
ALEGRETE RS                                                           ;2008;10       ;28;terça-feira   ;Manhã     ;10:00:00;Consumado;Residência        ;013;000
ALEGRETE RS                                                           ;2008;11       ;03;segunda-feira ;Noite     ;22:00:00;Consumado;Residência        ;016;014
ALEGRETE RS                                                           ;2009;03       ;21;sábado        ;Noite     ;22:00:00;Consumado;Residência        ;015;037
ALEGRETE RS                                                           ;2009;04       ;09;quinta-feira  ;Noite     ;20:30:00;Consumado;Residência        ;017;055
ALEGRETE RS                                                           ;2009;04       ;10;sexta-feira   ;Madrugada ;03:10:00;Tentado  ;Outros            ;026;030
ALEGRETE RS                                                           ;2009;04       ;26;domingo       ;Madrugada ;03:00:00;Consumado;Via Publica       ;049;000
ALEGRETE RS                                                           ;2009;05       ;02;sábado        ;Tarde     ;13:00:00;Consumado;Residência        ;014;021
ALEGRETE RS                                                           ;2009;05       ;16;sábado        ;Noite     ;21:00:00;Consumado;Residência        ;013;027
ALEGRETE RS                                                           ;2009;07       ;15;quarta-feira  ;Noite     ;23:00:00;Consumado;Residência        ;016;027
ALEGRETE RS                                                           ;2009;08       ;05;quarta-feira  ;Madrugada ;00:01:00;Consumado;Outros            ;013;020
ALEGRETE RS                                                           ;2009;08       ;29;sábado        ;Madrugada ;03:30:00;Consumado;Residência        ;032;000
ALEGRETE RS                                                           ;2009;08       ;29;sábado        ;Tarde     ;16:45:00;Tentado  ;Outros            ;013;020
ALEGRETE RS                                                           ;2009;09       ;17;quinta-feira  ;Tarde     ;12:45:00;Consumado;Residência        ;037;032
ALEGRETE RS                                                           ;2009;09       ;21;segunda-feira ;Tarde     ;15:00:00;Consumado;Residência        ;007;039
ALEGRETE RS                                                           ;2009;10       ;17;sábado        ;Noite     ;23:30:00;Consumado;Via Publica       ;052;024
ALEGRETE RS                                                           ;2009;10       ;18;domingo       ;Tarde     ;12:00:00;Tentado  ;Via Publica       ;013;039
ALEGRETE RS                                                           ;2009;11       ;01;domingo       ;Tarde     ;13:00:00;Consumado;Residência        ;013;035
ALEGRETE RS                                                           ;2009;11       ;06;sexta-feira   ;Noite     ;21:45:00;Consumado;Residência        ;009;056
ALEGRETE RS                                                           ;2010;01       ;02;sábado        ;Manhã     ;06:30:00;Consumado;Via Publica       ;015;021
ALEGRETE RS                                                           ;2010;01       ;16;sábado        ;Madrugada ;04:30:00;Consumado;Outros            ;016;039
ALEGRETE RS                                                           ;2010;01       ;25;segunda-feira ;Noite     ;21:00:00;Consumado;Via Publica       ;042;000
ALEGRETE RS                                                           ;2010;04       ;20;terça-feira   ;Tarde     ;14:00:00;Tentado  ;Residência        ;016;020
ALEGRETE RS                                                           ;2010;04       ;25;domingo       ;Tarde     ;13:40:00;Consumado;Residência        ;016;046
ALEGRETE RS                                                           ;2010;05       ;13;quinta-feira  ;Noite     ;20:00:00;Tentado  ;Residência        ;079;063
ALEGRETE RS                                                           ;2010;05       ;19;quarta-feira  ;Tarde     ;17:30:00;Tentado  ;Residência        ;016;017
ALEGRETE RS                                                           ;2010;05       ;28;sexta-feira   ;Tarde     ;16:30:00;Consumado;Estab.Ensino      ;013;000
ALEGRETE RS                                                           ;2010;06       ;15;terça-feira   ;Tarde     ;17:00:00;Consumado;Via Publica       ;012;000
ALEGRETE RS                                                           ;2010;06       ;18;sexta-feira   ;Madrugada ;03:00:00;Consumado;Via Publica       ;055;000
ALEGRETE RS                                                           ;2010;06       ;19;sábado        ;Madrugada ;05:30:00;Consumado;                  ;055;000
ALEGRETE RS                                                           ;2010;07       ;28;quarta-feira  ;Tarde     ;13:30:00;Consumado;Via Publica       ;013;059
ALEGRETE RS                                                           ;2010;08       ;19;quinta-feira  ;Noite     ;21:00:00;Consumado;Residência        ;011;015
ALEGRETE RS                                                           ;2010;09       ;10;sexta-feira   ;Manhã     ;08:00:00;Consumado;Residência        ;013;000
ALEGRETE RS                                                           ;2010;09       ;13;segunda-feira ;Manhã     ;06:19:00;Tentado  ;Residência        ;017;039
ALEGRETE RS                                                           ;2010;09       ;18;sábado        ;Noite     ;23:00:00;Consumado;Residência        ;021;039
ALEGRETE RS                                                           ;2010;10       ;22;sexta-feira   ;Tarde     ;12:05:00;Consumado;Residência        ;005;027
ALEGRETE RS                                                           ;2010;11       ;16;terça-feira   ;Manhã     ;10:00:00;Consumado;Outros            ;015;000
ALEGRETE RS                                                           ;2010;11       ;20;sábado        ;Noite     ;21:50:00;Consumado;Residência        ;014;000
ALEGRETE RS                                                           ;2010;12       ;01;quarta-feira  ;Noite     ;20:00:00;Consumado;Residência        ;013;051
ALEGRETE RS                                                           ;2010;12       ;29;quarta-feira  ;Noite     ;22:00:00;Tentado  ;Via Publica       ;014;000
ALEGRETE RS                                                           ;2011;01       ;06;quinta-feira  ;Noite     ;23:00:00;Tentado  ;Residência        ;012;040
ALEGRETE RS                                                           ;2011;02       ;13;domingo       ;Manhã     ;07:00:00;Tentado  ;Residência        ;021;047
ALEGRETE RS                                                           ;2011;02       ;26;sábado        ;Tarde     ;16:00:00;Consumado;Residência        ;013;047
ALEGRETE RS                                                           ;2011;04       ;02;sábado        ;Madrugada ;05:30:00;Tentado  ;Residência        ;054;032
ALEGRETE RS                                                           ;2011;04       ;12;terça-feira   ;Manhã     ;10:30:00;Consumado;Estab.Ensino      ;014;054
ALEGRETE RS                                                           ;2011;05       ;20;sexta-feira   ;Tarde     ;15:00:00;Consumado;Outros            ;014;018
ALEGRETE RS                                                           ;2011;06       ;06;segunda-feira ;Manhã     ;09:00:00;Consumado;Outros            ;018;000
ALEGRETE RS                                                           ;2011;07       ;01;sexta-feira   ;Tarde     ;15:00:00;Consumado;Residência        ;014;069
ALEGRETE RS                                                           ;2011;07       ;06;quarta-feira  ;Tarde     ;13:30:00;Tentado  ;Estab.Ensino      ;012;034
