MUNICIPIO,MESOREGIAO,MICROREGIAO,CODIGO
ACEGUA,4306,430631,430003
AGUA SANTA,4301,430110,430005
AGUDO,4303,430319,430010
AJURICABA,4301,430108,430020
ALECRIM,4301,430101,430030
ALEGRETE,4306,430629,430040
ALEGRIA,4301,430108,430045
ALMIRANTE TAMANDARE DO SUL,4301,430109,430047
ALPESTRE,4301,430103,430050
ALTO ALEGRE,4301,430111,430055
ALTO FELIZ,4305,430523,430057
ALVORADA,4305,430526,430060
AMARAL FERRADOR,4307,430732,430063
AMETISTA DO SUL,4301,430103,430064
ANDRE DA ROCHA,4302,430214,430066
ANTA GORDA,4302,430214,430070
ANTONIO PRADO,4302,430216,430080
ARAMBARE,4305,430528,430085
ARARICA,4305,430526,430087
ARATIBA,4301,430104,430090
ARROIO DO MEIO,4304,430421,430100
ARROIO DO SAL,4305,430527,430105
ARROIO DO PADRE,4307,430733,430107
ARROIO DOS RATOS,4305,430525,430110
ARROIO DO TIGRE,4304,430420,430120
ARROIO GRANDE,4307,430734,430130
ARVOREZINHA,4302,430214,430140
AUGUSTO PESTANA,4301,430108,430150
AUREA,4301,430104,430155
BAGE,4306,430631,430160
BALNEARIO PINHAL,4305,430527,430163
BARAO,4305,430523,430165
BARAO DE COTEGIPE,4301,430104,430170
BARAO DO TRIUNFO,4305,430525,430175
BARRACAO,4301,430105,430180
BARRA DO GUARITA,4301,430102,430185
BARRA DO QUARAI,4306,430629,430187
BARRA DO RIBEIRO,4305,430528,430190
BARRA DO RIO AZUL,4301,430104,430192
BARRA FUNDA,4301,430109,430195
BARROS CASSAL,4301,430113,430200
BENJAMIN CONSTANT DO SUL,4301,430104,430205
BENTO GONCALVES,4302,430216,430210
BOA VISTA DAS MISSOES,4301,430109,430215
BOA VISTA DO BURICA,4301,430102,430220
BOA VISTA DO CADEADO,4301,430111,430222
BOA VISTA DO INCRA,4301,430111,430223
BOA VISTA DO SUL,4302,430216,430225
BOM JESUS,4302,430215,430230
BOM PRINCIPIO,4305,430523,430235
BOM PROGRESSO,4301,430102,430237
BOM RETIRO DO SUL,4304,430421,430240
BOQUEIRAO DO LEAO,4304,430421,430245
BOSSOROCA,4301,430107,430250
BOZANO,4301,430108,430258
BRAGA,4301,430102,430260
BROCHIER,4305,430523,430265
BUTIA,4305,430525,430270
CACAPAVA DO SUL,4307,430732,430280
CACEQUI,4303,430318,430290
CACHOEIRA DO SUL,4304,430422,430300
CACHOEIRINHA,4305,430526,430310
CACIQUE DOBLE,4301,430105,430320
CAIBATE,4301,430106,430330
CAICARA,4301,430103,430340
CAMAQUA,4305,430528,430350
CAMARGO,4301,430110,430355
CAMBARA DO SUL,4302,430215,430360
CAMPESTRE DA SERRA,4302,430215,430367
CAMPINA DAS MISSOES,4301,430106,430370
CAMPINAS DO SUL,4301,430104,430380
CAMPO BOM,4305,430526,430390
CAMPO NOVO,4301,430102,430400
CAMPOS BORGES,4301,430111,430410
CANDELARIA,4304,430420,430420
CANDIDO GODOI,4301,430101,430430
CANDIOTA,4307,430732,430435
CANELA,4305,430524,430440
CANGUCU,4307,430733,430450
CANOAS,4305,430526,430460
CANUDOS DO VALE,4304,430421,430461
CAPAO BONITO DO SUL,4302,430215,430462
CAPAO DA CANOA,4305,430527,430463
CAPAO DO CIPO,4303,430317,430465
CAPAO DO LEAO,4307,430733,430466
CAPIVARI DO SUL,4305,430527,430467
CAPELA DE SANTANA,4305,430523,430468
CAPITAO,4304,430421,430469
CARAZINHO,4301,430109,430470
CARAA,4305,430527,430471
CARLOS BARBOSA,4302,430216,430480
CARLOS GOMES,4301,430104,430485
CASCA,4301,430110,430490
CASEIROS,4301,430110,430495
CATUIPE,4301,430107,430500
CAXIAS DO SUL,4302,430216,430510
CENTENARIO,4301,430104,430511
CERRITO,4307,430733,430512
CERRO BRANCO,4304,430422,430513
