NOME,POPULATION
"ACEGUA",4394
"AGUA SANTA",3726
"AGUDO",16729
"AJURICABA",7255
"ALECRIM",7045
"ALEGRETE",77673
"ALEGRIA",4301
"ALMIRANTE TAMANDARE DO SUL",2062
"ALPESTRE",8027
"ALTO ALEGRE",1848
"ALTO FELIZ",2908
"ALVORADA",195718
"AMARAL FERRADOR",6355
"AMETISTA DO SUL",7323
"ANDRE DA ROCHA",1216
"ANTA GORDA",6073
"ANTONIO PRADO",12837
"ARAMBARE",3693
"ARARICA",4868
"ARATIBA",6568
"ARROIO DO MEIO",18783
"ARROIO DO PADRE",2730
"ARROIO DO SAL",7744
"ARROIO DO TIGRE",12648
"ARROIO DOS RATOS",13608
"ARROIO GRANDE",18469
"ARVOREZINHA",10229
"AUGUSTO PESTANA",7097
"AUREA",3665
"BAGE",116792
"BALNEARIO PINHAL",10855
"BARRA DO GUARITA",3089
"BARRA DO QUARAI",4016
"BARRA DO RIBEIRO",12568
"BARRA DO RIO AZUL",2003
"BARRA FUNDA",2367
"BARRACAO",5355
"BARROS CASSAL",11133
"BARAO",5742
"BARAO DE COTEGIPE",6529
"BARAO DO TRIUNFO",7018
"BENJAMIN CONSTANT DO SUL",2307
"BENTO GONCALVES",107341
"BOA VISTA DAS MISSOES",2114
"BOA VISTA DO BURICA",6576
"BOA VISTA DO CADEADO",2441
"BOA VISTA DO INCRA",2425
"BOA VISTA DO SUL",2778
"BOM JESUS",11556
"BOM PRINCIPIO",11792
"BOM PROGRESSO",2328
"BOM RETIRO DO SUL",11472
"BOQUEIRAO DO LEAO",7673
"BOSSOROCA",6887
"BOZANO",2200
"BRAGA",3702
"BROCHIER",4677
"BUTIA",20555
"CACEQUI",13685
"CACHOEIRA DO SUL",83827
"CACHOEIRINHA",118294
"CACIQUE DOBLE",4865
"CAIBATE",4954
"CAICARA",5071
"CAMAQUA",62759
"CAMARGO",2591
"CAMBARA DO SUL",6545
"CAMPESTRE DA SERRA",3247
"CAMPINA DAS MISSOES",6117
"CAMPINAS DO SUL",5509
"CAMPO BOM",60081
"CAMPO NOVO",5459
"CAMPOS BORGES",3494
"CANDELARIA",30176
"CANDIOTA",8776
"CANELA",39238
"CANGUCU",53268
"CANOAS",323827
